year,land_anomaly_C,land_anomaly_err_C,ocean_anomaly_C,ocean_anomaly_spatial_std_C,ocean_n_locations,global_anomaly_C,global_anomaly_err_C
2009,0.038989,0.15367876824824547,0.27445890784904475,0.3234756827148822,10988,0.20593716466497275,0.23366367754841955
2010,0.239255,0.15367876824824547,0.28436888347917677,0.5011389322922353,10988,0.2712407433867363,0.3581108023130554
2011,0.110506,0.15367876824824547,0.1784824333062752,0.5269493137585333,10988,0.15870129121414914,0.3762740529347445
2012,0.096781,0.15367876824824547,0.24499665599070466,0.440319487977083,10988,0.20186590009740962,0.31537334451419835
2013,0.096825,0.15367876824824547,0.26699399138005653,0.3673614707503093,10988,0.2174748148884601,0.2642706245981557
2014,0.136892,0.15367876824824547,0.3585730313249466,0.4364357115922069,10988,0.29406385120938716,0.31264781580972906
2015,0.383949,0.15367876824824547,0.4773055481545945,0.5201297601678488,10988,0.4501387926416075,0.3714737043215632
2016,0.681902,0.15367876824824547,0.5167701465593718,0.4564535680921823,10988,0.5648235159105947,0.3267008431805013
2017,0.518882,0.15367876824824547,0.4565157718203624,0.38603857848796563,10988,0.47466434422063697,0.27733076860717354
2018,0.392451,0.15367876824824547,0.4143954611607587,0.4416511039626935,10988,0.40800962296297794,0.3163079483505003
2019,0.570966,0.15367876824824547,0.4895274591120364,0.43197712765949464,10988,0.5132260745104338,0.30951951541602746
2020,0.713795,0.15367876824824547,0.4730765036694941,0.46940825578401446,10988,0.5431255861016713,0.3358016124264876
2021,0.441121,0.15367876824824547,0.3733924886864954,0.49896914047464697,10988,0.39310148547872525,0.3565845141565437
2022,0.449049,0.15367876824824547,0.4159301743768077,0.5833402367108722,10988,0.42556775263315666,0.41599897505466576
2023,0.848302,0.15367876824824547,0.6461989344080273,0.5154060966168497,10988,0.7050109264952914,0.3681492052660781
2024,1.015505,0.15367876824824547,0.7005116088662514,0.5306981353907827,10988,0.7921746856861722,0.37891326014272575
2025,0.856504,0.15367876824824547,0.6140165653765404,0.4685749041513107,10988,0.6845804088519671,0.33521603832843494
